Date,Open,High,Low,Close,Volume,OpenInt,B_Small,B_Large,Sell
2017-08-23,161.2,166.25,160.85,165.8,14462095,0,1,1,0
2017-08-24,167.1,167.28,164.12,165.19,11724551,0,1,1,0
2017-08-25,166.17,166.58,163.55,163.81,8912047,0,1,1,0
2017-08-28,164.58,165.1,162.33,164.97,9659049,0,1,1,0
2017-08-29,162.59,165.58,162.261,164.7,8077471,0,1,1,0
2017-08-30,165.5,166.13,164.27,165.68,9567398,0,1,1,0
2017-08-31,166.5,169.6,166.2,169.44,15301727,0,0,1,1
2017-09-01,169.95,171.9,169.6,170.46,11129443,0,0,0,1
2017-09-05,168.38,168.584,163.563,165.91,17394331,0,1,1,0
2017-09-06,167.24,167.8,164.4,165.81,9897415,0,1,1,0
2017-09-07,166.49,167.89,164.95,166.58,8813337,0,1,1,0
2017-09-08,166.11,166.71,162.71,163.69,12415336,0,1,1,0
2017-09-11,165.54,169.433,165.32,169,14163950,0,1,1,0
2017-09-12,170,170,166.97,169.61,10269251,0,1,1,0
2017-09-13,168.59,171.54,167.28,170.37,14504223,0,1,1,0
2017-09-14,168.79,172.56,167.8,169.4,12791830,0,1,1,0
2017-09-15,172.86,180.11,172.65,180.11,33957797,0,1,1,0
2017-09-18,185.14,191.2,184.86,187.55,41908629,0,0,0,1
2017-09-19,185.51,189.85,184.615,187.35,21800794,0,0,0,1
2017-09-20,187.5,189.42,184.21,185.83,17419581,0,0,0,1
2017-09-21,181.64,182.7,177.61,180.76,26865757,0,0,0,1
2017-09-22,180.3,182.31,178.6,179,12263212,0,0,0,1
2017-09-25,177.75,177.8,170.16,171,21828097,0,1,1,0
2017-09-26,176.45,178.68,170.35,171.96,28094230,0,1,1,0
2017-09-27,175.62,176.27,172.75,175.73,17759420,0,1,1,0
2017-09-28,176.02,176.18,173.76,175.68,10864533,0,1,1,0
2017-09-29,179.08,179.73,177.25,178.77,15456495,0,1,1,0
2017-10-02,180.8,181.98,177,179,12568102,0,1,1,0
2017-10-03,179.25,180.58,177.58,179.37,9737108,0,1,1,0
2017-10-04,179.62,181.77,178.14,180.87,10681337,0,1,1,0
2017-10-05,181.86,182,179.56,180.77,10911611,0,1,1,0
2017-10-06,179.65,181.84,179,181.3,7952365,0,1,1,0
2017-10-09,182.79,186.73,182.03,185.39,14025740,0,1,1,0
2017-10-10,191.43,192.95,187.26,188.93,24322866,0,1,1,0
2017-10-11,189.6,191,187.74,190.94,13208122,0,1,1,0
2017-10-12,191.08,193.09,189.93,191.03,13132065,0,1,1,0
2017-10-13,193.55,195,191.65,194.59,15688113,0,1,1,0
2017-10-16,195.8,198.048,193.24,197.93,14356503,0,0,0,1
2017-10-17,197.09,198.9,196.35,197.75,11630729,0,0,0,1
2017-10-18,198.11,198.14,193.32,197.58,14159376,0,0,1,1
2017-10-19,194.44,198,192.45,197.8,14179172,0,1,1,0
2017-10-20,198.49,199.59,196.54,196.9,11259456,0,1,1,0
2017-10-23,197.78,198.85,195.8,196.62,10694529,0,1,1,0
2017-10-24,196.99,198.75,195.94,198.68,10103775,0,1,1,0
2017-10-25,197.08,199.22,191.17,193.66,20679872,0,1,1,0
2017-10-26,194.78,196.16,193.81,195.69,8019214,0,1,1,0
2017-10-27,197.88,201.87,196.75,201.86,14284864,0,1,1,0
2017-10-30,201.86,206.09,201.22,203.84,12601417,0,1,1,0
2017-10-31,205.13,207.89,204.9,206.81,10297707,0,1,1,0
2017-11-01,209.35,209.97,204.6,207.2,12564446,0,1,1,0
2017-11-02,206,207.81,203.65,205.94,8557738,0,1,1,0
2017-11-03,207.2,208.69,205.341,208.69,8841024,0,1,1,0
2017-11-06,207.2,209.98,206.7,209.63,9731783,0,1,1,0
2017-11-07,210.55,212.9,210.056,212,10671815,0,0,0,1
2017-11-08,211.85,212,207.24,209.16,13033902,0,1,1,0
2017-11-09,205.27,206.33,200.37,205.32,23895006,0,1,1,0
2017-11-10,213.08,218.67,211.63,216.14,31300857,0,1,1,0
